Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
19	43.03%	22.38%	1.56%	33.02%	0.00%	43.03%	22.38%	1.56%	33.02%	0.00%
20	43.78%	23.19%	0.69%	32.33%	0.00%	43.78%	23.19%	0.69%	32.33%	0.00%
21	43.03%	23.08%	0.98%	32.91%	0.00%	43.03%	23.08%	0.98%	32.91%	0.00%
22	43.84%	23.13%	1.33%	31.69%	0.00%	43.84%	23.13%	1.33%	31.69%	0.00%
23	45.05%	23.54%	1.10%	30.31%	0.00%	45.05%	23.54%	1.10%	30.31%	0.00%
24	44.30%	24.00%	0.81%	30.88%	0.00%	44.30%	24.00%	0.81%	30.88%	0.00%
25	42.34%	23.66%	1.21%	32.79%	0.00%	42.34%	23.66%	1.21%	32.79%	0.00%
26	43.09%	24.87%	0.87%	31.17%	0.00%	43.09%	24.87%	0.87%	31.17%	0.00%
27	42.68%	23.60%	0.87%	32.85%	0.00%	42.68%	23.60%	0.87%	32.85%	0.00%
28	43.72%	25.04%	0.69%	30.54%	0.00%	43.72%	25.04%	0.69%	30.54%	0.00%
29	44.36%	22.15%	1.21%	32.27%	0.00%	44.36%	22.15%	1.21%	32.27%	0.00%
30	44.53%	22.85%	1.16%	31.46%	0.00%	44.53%	22.85%	1.16%	31.46%	0.00%
31	46.21%	22.38%	1.04%	30.36%	0.00%	46.21%	22.38%	1.04%	30.36%	0.00%
32	44.59%	23.02%	1.50%	30.88%	0.00%	44.59%	23.02%	1.50%	30.88%	0.00%
33	44.19%	24.00%	0.98%	30.83%	0.00%	44.19%	24.00%	0.98%	30.83%	0.00%
34	43.72%	24.75%	1.10%	30.42%	0.00%	43.72%	24.75%	1.10%	30.42%	0.00%
35	43.26%	25.33%	1.21%	30.19%	0.00%	43.26%	25.33%	1.21%	30.19%	0.00%
36	42.16%	23.25%	0.98%	33.60%	0.00%	42.16%	23.25%	0.98%	33.60%	0.00%
37	41.53%	24.93%	0.75%	32.79%	0.00%	41.53%	24.93%	0.75%	32.79%	0.00%
38	43.78%	23.66%	1.50%	31.06%	0.00%	43.78%	23.66%	1.50%	31.06%	0.00%
39	42.22%	23.42%	1.21%	33.14%	0.00%	42.22%	23.42%	1.21%	33.14%	0.00%
40	44.30%	23.13%	1.50%	31.06%	0.00%	44.30%	23.13%	1.50%	31.06%	0.00%
41	45.81%	20.13%	1.27%	32.79%	0.00%	45.81%	20.13%	1.27%	32.79%	0.00%
42	45.40%	22.85%	1.21%	30.54%	0.00%	45.40%	22.85%	1.21%	30.54%	0.00%
43	42.63%	23.37%	1.27%	32.74%	0.00%	42.63%	23.37%	1.27%	32.74%	0.00%
44	41.24%	24.64%	0.98%	33.14%	0.00%	41.24%	24.64%	0.98%	33.14%	0.00%
45	41.53%	23.77%	1.85%	32.85%	0.00%	41.53%	23.77%	1.85%	32.85%	0.00%
46	42.91%	25.27%	1.16%	30.65%	0.00%	42.91%	25.27%	1.16%	30.65%	0.00%
47	42.05%	22.79%	1.27%	33.89%	0.00%	42.05%	22.79%	1.27%	33.89%	0.00%
48	42.74%	22.61%	1.21%	33.43%	0.00%	42.74%	22.61%	1.21%	33.43%	0.00%
49	44.13%	25.62%	0.75%	29.50%	0.00%	44.13%	25.62%	0.75%	29.50%	0.00%
50	42.16%	23.83%	0.93%	33.08%	0.00%	42.16%	23.83%	0.93%	33.08%	0.00%
51	42.91%	24.12%	1.27%	31.69%	0.00%	42.91%	24.12%	1.27%	31.69%	0.00%
52	42.16%	24.47%	1.21%	32.16%	0.00%	42.16%	24.47%	1.21%	32.16%	0.00%
53	43.96%	24.70%	1.33%	30.02%	0.00%	43.96%	24.70%	1.33%	30.02%	0.00%
54	43.78%	22.44%	0.75%	33.02%	0.00%	43.78%	22.44%	0.75%	33.02%	0.00%
55	43.20%	24.41%	0.81%	31.58%	0.00%	43.20%	24.41%	0.81%	31.58%	0.00%
56	42.74%	23.71%	1.10%	32.45%	0.00%	42.74%	23.71%	1.10%	32.45%	0.00%
57	43.96%	24.06%	1.04%	30.94%	0.00%	43.96%	24.06%	1.04%	30.94%	0.00%
58	46.10%	21.80%	0.75%	31.35%	0.00%	46.10%	21.80%	0.75%	31.35%	0.00%
59	43.72%	22.61%	1.04%	32.62%	0.00%	43.72%	22.61%	1.04%	32.62%	0.00%
60	44.36%	23.02%	1.04%	31.58%	0.00%	44.36%	23.02%	1.04%	31.58%	0.00%
61	43.61%	23.31%	0.87%	32.22%	0.00%	43.61%	23.31%	0.87%	32.22%	0.00%
62	43.96%	25.39%	0.64%	30.02%	0.00%	43.96%	25.39%	0.64%	30.02%	0.00%
63	43.44%	23.94%	0.93%	31.69%	0.00%	43.44%	23.94%	0.93%	31.69%	0.00%
64	43.78%	22.27%	1.56%	32.39%	0.00%	43.78%	22.27%	1.56%	32.39%	0.00%
65	42.80%	23.19%	1.56%	32.45%	0.00%	42.80%	23.19%	1.56%	32.45%	0.00%
66	45.11%	24.52%	0.81%	29.55%	0.00%	45.11%	24.52%	0.81%	29.55%	0.00%
67	43.72%	23.48%	1.33%	31.46%	0.00%	43.72%	23.48%	1.33%	31.46%	0.00%
68	45.52%	23.77%	1.21%	29.50%	0.00%	45.52%	23.77%	1.21%	29.50%	0.00%
69	43.38%	23.25%	0.75%	32.62%	0.00%	43.38%	23.25%	0.75%	32.62%	0.00%
70	45.81%	22.38%	0.98%	30.83%	0.00%	45.81%	22.38%	0.98%	30.83%	0.00%
71	43.55%	23.25%	1.45%	31.75%	0.00%	43.55%	23.25%	1.45%	31.75%	0.00%
72	41.01%	24.75%	0.81%	33.43%	0.00%	41.01%	24.75%	0.81%	33.43%	0.00%
73	43.61%	22.96%	1.50%	31.93%	0.00%	43.61%	22.96%	1.50%	31.93%	0.00%
74	41.41%	24.23%	1.21%	33.14%	0.00%	41.41%	24.23%	1.21%	33.14%	0.00%
75	43.03%	23.60%	0.98%	32.39%	0.00%	43.03%	23.60%	0.98%	32.39%	0.00%
76	42.80%	23.83%	1.04%	32.33%	0.00%	42.80%	23.83%	1.04%	32.33%	0.00%
77	42.86%	24.18%	1.45%	31.52%	0.00%	42.86%	24.18%	1.45%	31.52%	0.00%
78	44.82%	22.04%	1.04%	32.10%	0.00%	44.82%	22.04%	1.04%	32.10%	0.00%
79	45.05%	23.19%	1.21%	30.54%	0.00%	45.05%	23.19%	1.21%	30.54%	0.00%
80	43.09%	22.67%	1.27%	32.97%	0.00%	43.09%	22.67%	1.27%	32.97%	0.00%
81	46.91%	22.38%	0.93%	29.79%	0.00%	46.91%	22.38%	0.93%	29.79%	0.00%
82	42.39%	24.06%	0.93%	32.62%	0.00%	42.39%	24.06%	0.93%	32.62%	0.00%
83	43.78%	22.85%	1.39%	31.98%	0.00%	43.78%	22.85%	1.39%	31.98%	0.00%
84	43.90%	22.61%	1.39%	32.10%	0.00%	43.90%	22.61%	1.39%	32.10%	0.00%
85	44.42%	23.77%	0.58%	31.23%	0.00%	44.42%	23.77%	0.58%	31.23%	0.00%
86	43.32%	22.56%	1.33%	32.79%	0.00%	43.32%	22.56%	1.33%	32.79%	0.00%
87	43.49%	22.96%	1.21%	32.33%	0.00%	43.49%	22.96%	1.21%	32.33%	0.00%
88	42.51%	23.89%	1.21%	32.39%	0.00%	42.51%	23.89%	1.21%	32.39%	0.00%
89	43.09%	23.83%	1.21%	31.87%	0.00%	43.09%	23.83%	1.21%	31.87%	0.00%
90	42.05%	24.99%	1.21%	31.75%	0.00%	42.05%	24.99%	1.21%	31.75%	0.00%
91	41.87%	25.16%	0.98%	31.98%	0.00%	41.87%	25.16%	0.98%	31.98%	0.00%
92	44.65%	23.48%	0.87%	31.00%	0.00%	44.65%	23.48%	0.87%	31.00%	0.00%
93	43.61%	25.22%	0.98%	30.19%	0.00%	43.61%	25.22%	0.98%	30.19%	0.00%
94	45.98%	23.66%	0.93%	29.44%	0.00%	45.98%	23.66%	0.93%	29.44%	0.00%
95	43.32%	23.94%	0.87%	31.87%	0.00%	43.32%	23.94%	0.87%	31.87%	0.00%
96	42.97%	22.85%	0.87%	33.31%	0.00%	42.97%	22.85%	0.87%	33.31%	0.00%
97	43.78%	23.77%	0.75%	31.69%	0.00%	43.78%	23.77%	0.75%	31.69%	0.00%
98	45.00%	23.08%	1.50%	30.42%	0.00%	45.00%	23.08%	1.50%	30.42%	0.00%
99	43.15%	23.37%	1.68%	31.81%	0.00%	43.15%	23.37%	1.68%	31.81%	0.00%
100	43.61%	23.89%	1.21%	31.29%	0.00%	43.61%	23.89%	1.21%	31.29%	0.00%
101	44.01%	24.75%	1.16%	30.08%	0.00%	44.01%	24.75%	1.16%	30.08%	0.00%
102	43.90%	24.47%	1.16%	30.48%	0.00%	43.90%	24.47%	1.16%	30.48%	0.00%
103	43.26%	24.99%	1.62%	30.13%	0.00%	43.26%	24.99%	1.62%	30.13%	0.00%
104	44.07%	22.85%	0.64%	32.45%	0.00%	44.07%	22.85%	0.64%	32.45%	0.00%
105	44.01%	22.33%	0.98%	32.68%	0.00%	44.01%	22.33%	0.98%	32.68%	0.00%
106	44.48%	23.25%	1.21%	31.06%	0.00%	44.48%	23.25%	1.21%	31.06%	0.00%
107	44.13%	23.37%	1.10%	31.41%	0.00%	44.13%	23.37%	1.10%	31.41%	0.00%
108	44.30%	22.33%	0.75%	32.62%	0.00%	44.30%	22.33%	0.75%	32.62%	0.00%
109	43.09%	24.00%	1.21%	31.69%	0.00%	43.09%	24.00%	1.21%	31.69%	0.00%
110	44.25%	22.27%	1.04%	32.45%	0.00%	44.25%	22.27%	1.04%	32.45%	0.00%
111	42.91%	25.16%	0.93%	31.00%	0.00%	42.91%	25.16%	0.93%	31.00%	0.00%
112	42.80%	22.56%	0.98%	33.66%	0.00%	42.80%	22.56%	0.98%	33.66%	0.00%
113	42.57%	23.13%	0.98%	33.31%	0.00%	42.57%	23.13%	0.98%	33.31%	0.00%
114	44.48%	23.54%	0.98%	31.00%	0.00%	44.48%	23.54%	0.98%	31.00%	0.00%
115	42.34%	23.77%	1.16%	32.74%	0.00%	42.34%	23.77%	1.16%	32.74%	0.00%
116	42.16%	24.00%	1.04%	32.79%	0.00%	42.16%	24.00%	1.04%	32.79%	0.00%
117	42.34%	24.18%	1.10%	32.39%	0.00%	42.34%	24.18%	1.10%	32.39%	0.00%
118	43.84%	23.02%	1.97%	31.17%	0.00%	43.84%	23.02%	1.97%	31.17%	0.00%
119	44.77%	21.92%	1.04%	32.27%	0.00%	44.77%	21.92%	1.04%	32.27%	0.00%
120	44.77%	21.17%	1.10%	32.97%	0.00%	44.77%	21.17%	1.10%	32.97%	0.00%
121	45.05%	22.67%	1.21%	31.06%	0.00%	45.05%	22.67%	1.21%	31.06%	0.00%
122	41.41%	25.27%	1.04%	32.27%	0.00%	41.41%	25.27%	1.04%	32.27%	0.00%
123	45.00%	22.96%	1.16%	30.88%	0.00%	45.00%	22.96%	1.16%	30.88%	0.00%
124	43.15%	23.19%	0.93%	32.74%	0.00%	43.15%	23.19%	0.93%	32.74%	0.00%
125	45.17%	22.67%	1.33%	30.83%	0.00%	45.17%	22.67%	1.33%	30.83%	0.00%
126	43.72%	23.83%	0.87%	31.58%	0.00%	43.72%	23.83%	0.87%	31.58%	0.00%
127	42.68%	25.56%	1.16%	30.60%	0.00%	42.68%	25.56%	1.16%	30.60%	0.00%
128	45.46%	21.98%	1.39%	31.17%	0.00%	45.46%	21.98%	1.39%	31.17%	0.00%
129	44.07%	23.13%	1.33%	31.46%	0.00%	44.07%	23.13%	1.33%	31.46%	0.00%
130	45.69%	22.96%	1.10%	30.25%	0.00%	45.69%	22.96%	1.10%	30.25%	0.00%
131	43.32%	25.22%	1.56%	29.90%	0.00%	43.32%	25.22%	1.56%	29.90%	0.00%
132	44.25%	23.42%	1.21%	31.12%	0.00%	44.25%	23.42%	1.21%	31.12%	0.00%
133	44.59%	21.11%	1.45%	32.85%	0.00%	44.59%	21.11%	1.45%	32.85%	0.00%
134	44.01%	22.96%	1.39%	31.64%	0.00%	44.01%	22.96%	1.39%	31.64%	0.00%
135	42.39%	24.52%	1.56%	31.52%	0.00%	42.39%	24.52%	1.56%	31.52%	0.00%
136	45.11%	23.94%	0.93%	30.02%	0.00%	45.11%	23.94%	0.93%	30.02%	0.00%
137	42.86%	23.60%	1.45%	32.10%	0.00%	42.86%	23.60%	1.45%	32.10%	0.00%
138	44.19%	24.52%	1.21%	30.08%	0.00%	44.19%	24.52%	1.21%	30.08%	0.00%
139	41.12%	23.37%	1.16%	34.36%	0.00%	41.12%	23.37%	1.16%	34.36%	0.00%
140	45.05%	22.96%	1.39%	30.60%	0.00%	45.05%	22.96%	1.39%	30.60%	0.00%
141	44.01%	22.90%	1.33%	31.75%	0.00%	44.01%	22.90%	1.33%	31.75%	0.00%
142	47.02%	23.13%	0.98%	28.86%	0.00%	47.02%	23.13%	0.98%	28.86%	0.00%
143	44.30%	24.18%	1.04%	30.48%	0.00%	44.30%	24.18%	1.04%	30.48%	0.00%
144	44.42%	25.80%	1.04%	28.74%	0.00%	44.42%	25.80%	1.04%	28.74%	0.00%
145	42.22%	23.37%	1.21%	33.20%	0.00%	42.22%	23.37%	1.21%	33.20%	0.00%
146	42.97%	22.09%	1.74%	33.20%	0.00%	42.97%	22.09%	1.74%	33.20%	0.00%
147	48.41%	20.65%	1.91%	29.03%	0.00%	48.41%	20.65%	1.91%	29.03%	0.00%
148	43.90%	21.46%	1.79%	32.85%	0.00%	43.90%	21.46%	1.79%	32.85%	0.00%
149	42.39%	22.85%	1.50%	33.26%	0.00%	42.39%	22.85%	1.50%	33.26%	0.00%
150	41.82%	24.64%	1.50%	32.04%	0.00%	41.82%	24.64%	1.50%	32.04%	0.00%
