Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
36	34.47%	1.33%	21.40%	42.80%	0.00%	34.47%	1.33%	21.40%	42.80%	0.00%
37	33.20%	0.69%	21.86%	44.25%	0.00%	33.20%	0.69%	21.86%	44.25%	0.00%
38	32.68%	0.93%	21.69%	44.71%	0.00%	32.68%	0.93%	21.69%	44.71%	0.00%
39	31.06%	0.93%	22.61%	45.40%	0.00%	31.06%	0.93%	22.61%	45.40%	0.00%
40	32.56%	0.81%	22.33%	44.30%	0.00%	32.56%	0.81%	22.33%	44.30%	0.00%
41	33.37%	1.04%	23.37%	42.22%	0.00%	33.37%	1.04%	23.37%	42.22%	0.00%
42	33.89%	0.81%	20.88%	44.42%	0.00%	33.89%	0.81%	20.88%	44.42%	0.00%
43	31.98%	1.33%	21.05%	45.63%	0.00%	31.98%	1.33%	21.05%	45.63%	0.00%
44	29.61%	1.33%	22.85%	46.21%	0.00%	29.61%	1.33%	22.85%	46.21%	0.00%
45	32.33%	1.04%	22.56%	44.07%	0.00%	32.33%	1.04%	22.56%	44.07%	0.00%
46	32.50%	1.21%	22.90%	43.38%	0.00%	32.50%	1.21%	22.90%	43.38%	0.00%
47	34.18%	0.98%	23.19%	41.64%	0.00%	34.18%	0.98%	23.19%	41.64%	0.00%
48	34.18%	1.21%	21.28%	43.32%	0.00%	34.18%	1.21%	21.28%	43.32%	0.00%
49	32.39%	0.75%	22.90%	43.96%	0.00%	32.39%	0.75%	22.90%	43.96%	0.00%
50	33.08%	1.50%	22.90%	42.51%	0.00%	33.08%	1.50%	22.90%	42.51%	0.00%
51	31.81%	0.93%	22.85%	44.42%	0.00%	31.81%	0.93%	22.85%	44.42%	0.00%
52	32.91%	0.75%	21.57%	44.77%	0.00%	32.91%	0.75%	21.57%	44.77%	0.00%
53	32.33%	1.45%	20.53%	45.69%	0.00%	32.33%	1.45%	20.53%	45.69%	0.00%
54	32.04%	1.50%	20.71%	45.75%	0.00%	32.04%	1.50%	20.71%	45.75%	0.00%
55	30.83%	0.98%	23.94%	44.25%	0.00%	30.83%	0.98%	23.94%	44.25%	0.00%
56	30.94%	0.81%	23.08%	45.17%	0.00%	30.94%	0.81%	23.08%	45.17%	0.00%
57	31.46%	1.10%	24.12%	43.32%	0.00%	31.46%	1.10%	24.12%	43.32%	0.00%
58	33.72%	0.87%	23.08%	42.34%	0.00%	33.72%	0.87%	23.08%	42.34%	0.00%
59	34.30%	1.04%	22.79%	41.87%	0.00%	34.30%	1.04%	22.79%	41.87%	0.00%
60	29.38%	1.33%	25.10%	44.19%	0.00%	29.38%	1.33%	25.10%	44.19%	0.00%
61	32.91%	1.74%	22.67%	42.68%	0.00%	32.91%	1.74%	22.67%	42.68%	0.00%
62	33.72%	1.10%	21.28%	43.90%	0.00%	33.72%	1.10%	21.28%	43.90%	0.00%
63	32.68%	1.45%	21.46%	44.42%	0.00%	32.68%	1.45%	21.46%	44.42%	0.00%
64	32.10%	1.62%	23.89%	42.39%	0.00%	32.10%	1.62%	23.89%	42.39%	0.00%
65	32.16%	1.04%	25.16%	41.64%	0.00%	32.16%	1.04%	25.16%	41.64%	0.00%
66	31.64%	1.10%	23.19%	44.07%	0.00%	31.64%	1.10%	23.19%	44.07%	0.00%
67	33.60%	0.87%	20.53%	45.00%	0.00%	33.60%	0.87%	20.53%	45.00%	0.00%
68	32.10%	1.04%	23.13%	43.72%	0.00%	32.10%	1.04%	23.13%	43.72%	0.00%
69	32.68%	1.21%	21.34%	44.77%	0.00%	32.68%	1.21%	21.34%	44.77%	0.00%
70	31.64%	0.98%	22.85%	44.53%	0.00%	31.64%	0.98%	22.85%	44.53%	0.00%
71	31.12%	0.87%	22.27%	45.75%	0.00%	31.12%	0.87%	22.27%	45.75%	0.00%
72	32.50%	1.16%	22.67%	43.67%	0.00%	32.50%	1.16%	22.67%	43.67%	0.00%
73	34.07%	0.75%	20.76%	44.42%	0.00%	34.07%	0.75%	20.76%	44.42%	0.00%
74	32.04%	1.74%	22.33%	43.90%	0.00%	32.04%	1.74%	22.33%	43.90%	0.00%
75	30.88%	1.39%	24.87%	42.86%	0.00%	30.88%	1.39%	24.87%	42.86%	0.00%
76	31.29%	1.10%	24.29%	43.32%	0.00%	31.29%	1.10%	24.29%	43.32%	0.00%
77	32.85%	0.98%	20.88%	45.29%	0.00%	32.85%	0.98%	20.88%	45.29%	0.00%
78	32.10%	1.10%	22.61%	44.19%	0.00%	32.10%	1.10%	22.61%	44.19%	0.00%
79	33.02%	0.93%	23.19%	42.86%	0.00%	33.02%	0.93%	23.19%	42.86%	0.00%
80	33.49%	0.81%	22.38%	43.32%	0.00%	33.49%	0.81%	22.38%	43.32%	0.00%
81	32.39%	0.93%	23.60%	43.09%	0.00%	32.39%	0.93%	23.60%	43.09%	0.00%
82	33.26%	1.33%	21.40%	44.01%	0.00%	33.26%	1.33%	21.40%	44.01%	0.00%
83	33.49%	0.98%	21.46%	44.07%	0.00%	33.49%	0.98%	21.46%	44.07%	0.00%
84	30.65%	1.10%	23.08%	45.17%	0.00%	30.65%	1.10%	23.08%	45.17%	0.00%
85	32.27%	1.21%	23.54%	42.97%	0.00%	32.27%	1.21%	23.54%	42.97%	0.00%
86	31.46%	0.98%	25.62%	41.93%	0.00%	31.46%	0.98%	25.62%	41.93%	0.00%
87	33.55%	1.39%	20.94%	44.13%	0.00%	33.55%	1.39%	20.94%	44.13%	0.00%
88	34.64%	1.10%	21.28%	42.97%	0.00%	34.64%	1.10%	21.28%	42.97%	0.00%
89	32.74%	1.16%	21.57%	44.53%	0.00%	32.74%	1.16%	21.57%	44.53%	0.00%
90	32.22%	1.33%	24.70%	41.76%	0.00%	32.22%	1.33%	24.70%	41.76%	0.00%
91	29.09%	0.98%	23.25%	46.67%	0.00%	29.09%	0.98%	23.25%	46.67%	0.00%
92	31.41%	1.85%	23.31%	43.44%	0.00%	31.41%	1.85%	23.31%	43.44%	0.00%
93	31.52%	1.50%	23.31%	43.67%	0.00%	31.52%	1.50%	23.31%	43.67%	0.00%
94	30.60%	1.27%	24.52%	43.61%	0.00%	30.60%	1.27%	24.52%	43.61%	0.00%
95	30.71%	1.10%	22.44%	45.75%	0.00%	30.71%	1.10%	22.44%	45.75%	0.00%
96	31.93%	0.69%	23.37%	44.01%	0.00%	31.93%	0.69%	23.37%	44.01%	0.00%
97	33.20%	1.56%	22.38%	42.86%	0.00%	33.20%	1.56%	22.38%	42.86%	0.00%
98	31.64%	1.33%	22.79%	44.25%	0.00%	31.64%	1.33%	22.79%	44.25%	0.00%
99	31.75%	1.10%	23.42%	43.72%	0.00%	31.75%	1.10%	23.42%	43.72%	0.00%
100	32.27%	1.21%	23.13%	43.38%	0.00%	32.27%	1.21%	23.13%	43.38%	0.00%
101	32.50%	1.68%	24.18%	41.64%	0.00%	32.50%	1.68%	24.18%	41.64%	0.00%
102	34.41%	1.33%	22.85%	41.41%	0.00%	34.41%	1.33%	22.85%	41.41%	0.00%
103	34.01%	1.21%	24.47%	40.31%	0.00%	34.01%	1.21%	24.47%	40.31%	0.00%
104	31.69%	1.27%	23.42%	43.61%	0.00%	31.69%	1.27%	23.42%	43.61%	0.00%
105	31.75%	1.27%	24.06%	42.91%	0.00%	31.75%	1.27%	24.06%	42.91%	0.00%
106	32.39%	0.98%	22.79%	43.84%	0.00%	32.39%	0.98%	22.79%	43.84%	0.00%
107	34.47%	1.56%	22.21%	41.76%	0.00%	34.47%	1.56%	22.21%	41.76%	0.00%
108	30.83%	0.81%	21.11%	47.25%	0.00%	30.83%	0.81%	21.11%	47.25%	0.00%
109	31.75%	1.16%	21.69%	45.40%	0.00%	31.75%	1.16%	21.69%	45.40%	0.00%
110	31.98%	1.27%	25.04%	41.70%	0.00%	31.98%	1.27%	25.04%	41.70%	0.00%
111	32.97%	1.33%	21.34%	44.36%	0.00%	32.97%	1.33%	21.34%	44.36%	0.00%
112	33.89%	1.10%	21.69%	43.32%	0.00%	33.89%	1.10%	21.69%	43.32%	0.00%
113	33.95%	0.98%	22.21%	42.86%	0.00%	33.95%	0.98%	22.21%	42.86%	0.00%
114	30.54%	1.33%	23.37%	44.77%	0.00%	30.54%	1.33%	23.37%	44.77%	0.00%
115	31.29%	1.04%	24.52%	43.15%	0.00%	31.29%	1.04%	24.52%	43.15%	0.00%
116	31.12%	1.10%	24.99%	42.80%	0.00%	31.12%	1.10%	24.99%	42.80%	0.00%
117	31.46%	1.45%	22.90%	44.19%	0.00%	31.46%	1.45%	22.90%	44.19%	0.00%
118	31.98%	0.75%	22.09%	45.17%	0.00%	31.98%	0.75%	22.09%	45.17%	0.00%
119	31.29%	1.16%	23.48%	44.07%	0.00%	31.29%	1.16%	23.48%	44.07%	0.00%
120	33.02%	1.04%	21.69%	44.25%	0.00%	33.02%	1.04%	21.69%	44.25%	0.00%
121	32.22%	0.98%	22.61%	44.19%	0.00%	32.22%	0.98%	22.61%	44.19%	0.00%
122	33.95%	0.87%	22.67%	42.51%	0.00%	33.95%	0.87%	22.67%	42.51%	0.00%
123	32.62%	1.10%	23.31%	42.97%	0.00%	32.62%	1.10%	23.31%	42.97%	0.00%
124	32.68%	1.33%	24.18%	41.82%	0.00%	32.68%	1.33%	24.18%	41.82%	0.00%
125	32.27%	1.21%	23.66%	42.86%	0.00%	32.27%	1.21%	23.66%	42.86%	0.00%
126	33.26%	1.16%	23.83%	41.76%	0.00%	33.26%	1.16%	23.83%	41.76%	0.00%
127	33.37%	0.64%	21.63%	44.36%	0.00%	33.37%	0.64%	21.63%	44.36%	0.00%
128	33.95%	1.21%	22.27%	42.57%	0.00%	33.95%	1.21%	22.27%	42.57%	0.00%
129	35.63%	1.56%	20.82%	41.99%	0.00%	35.63%	1.56%	20.82%	41.99%	0.00%
130	31.41%	0.98%	24.75%	42.86%	0.00%	31.41%	0.98%	24.75%	42.86%	0.00%
131	31.06%	1.16%	23.71%	44.07%	0.00%	31.06%	1.16%	23.71%	44.07%	0.00%
132	31.46%	0.87%	23.31%	44.36%	0.00%	31.46%	0.87%	23.31%	44.36%	0.00%
133	31.64%	1.04%	24.12%	43.20%	0.00%	31.64%	1.04%	24.12%	43.20%	0.00%
134	33.20%	0.93%	23.37%	42.51%	0.00%	33.20%	0.93%	23.37%	42.51%	0.00%
135	32.16%	1.10%	22.56%	44.19%	0.00%	32.16%	1.10%	22.56%	44.19%	0.00%
136	30.48%	1.27%	24.99%	43.26%	0.00%	30.48%	1.27%	24.99%	43.26%	0.00%
137	32.97%	1.10%	22.27%	43.67%	0.00%	32.97%	1.10%	22.27%	43.67%	0.00%
138	31.93%	1.04%	22.33%	44.71%	0.00%	31.93%	1.04%	22.33%	44.71%	0.00%
139	29.96%	1.21%	23.89%	44.94%	0.00%	29.96%	1.21%	23.89%	44.94%	0.00%
140	30.42%	0.69%	23.37%	45.52%	0.00%	30.42%	0.69%	23.37%	45.52%	0.00%
141	31.93%	1.16%	23.94%	42.97%	0.00%	31.93%	1.16%	23.94%	42.97%	0.00%
142	31.93%	0.81%	22.79%	44.48%	0.00%	31.93%	0.81%	22.79%	44.48%	0.00%
143	33.26%	0.98%	23.08%	42.68%	0.00%	33.26%	0.98%	23.08%	42.68%	0.00%
144	31.81%	1.10%	24.41%	42.68%	0.00%	31.81%	1.10%	24.41%	42.68%	0.00%
145	32.85%	1.50%	23.19%	42.45%	0.00%	32.85%	1.50%	23.19%	42.45%	0.00%
146	32.62%	0.69%	25.39%	41.30%	0.00%	32.62%	0.69%	25.39%	41.30%	0.00%
147	33.43%	1.16%	22.73%	42.68%	0.00%	33.43%	1.16%	22.73%	42.68%	0.00%
148	32.68%	1.27%	20.94%	45.11%	0.00%	32.68%	1.27%	20.94%	45.11%	0.00%
149	33.55%	1.10%	22.85%	42.51%	0.00%	33.55%	1.10%	22.85%	42.51%	0.00%
150	32.50%	1.33%	23.37%	42.80%	0.00%	32.50%	1.33%	23.37%	42.80%	0.00%
