Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
81	22.90%	27.30%	26.30%	23.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
82	22.00%	25.30%	26.10%	26.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
83	24.50%	23.30%	23.90%	28.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
84	22.90%	25.50%	25.80%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
85	26.70%	26.50%	22.40%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
86	25.40%	27.00%	25.20%	22.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
87	26.50%	24.10%	24.80%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
88	22.70%	26.00%	23.80%	27.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
89	25.90%	25.40%	24.20%	24.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
90	27.90%	25.80%	22.30%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
91	24.80%	24.70%	23.00%	27.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
92	24.80%	23.60%	24.20%	27.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
93	25.40%	23.20%	27.50%	23.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
94	23.70%	25.60%	25.90%	24.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
95	23.00%	24.90%	24.90%	27.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
96	26.40%	24.00%	23.90%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
97	24.00%	27.80%	23.70%	24.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
98	24.50%	23.10%	24.40%	28.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
99	23.80%	27.00%	23.20%	26.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
100	23.90%	25.60%	25.20%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
